Time_sec,P_deg,Q_deg,R_deg,Pdot_deg_per_sec,Qdot_deg_per_sec,Rdot_deg_per_sec,Vertical_speed_SI,Altitude_MSL_SI,Height_AGL_SI,alpha_deg,IAS0_knots,IAS1_knots,TAS_SI,Left_aileron_deg,Right_aileron_deg,Elevator_deg,Rudder_deg,Roll_deg,Pitch_deg,Yaw_deg
1119.3756103515625,0.15148228406906128,0.20860108733177185,-0.2716280221939087,-2.532484769821167,18.60955810546875,0.053035810589790344,-0.1671966165304184,85.52227020263672,85.5757827758789,2.1532201766967773,26.142635345458984,26.142635345458984,13.516120910644531,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.3646728992462158,-0.9801710247993469,37.35689163208008
1119.3936767578125,0.14716283977031708,0.24930308759212494,-0.26925599575042725,-2.509307622909546,14.11490535736084,0.2172013819217682,-0.17537778615951538,85.51162719726562,85.56513214111328,2.15701961517334,26.16257667541504,26.16257667541504,13.524693489074707,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.3624323904514313,-0.9769443869590759,37.35298156738281
1119.4090576171875,0.14150334894657135,0.2516171634197235,-0.2644505798816681,-2.3984692096710205,11.844502449035645,0.255057156085968,-0.18548443913459778,85.4982681274414,85.5517578125,2.1604204177856445,26.1825008392334,26.1825008392334,13.535399436950684,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.35971400141716003,-0.9725952744483948,37.3481330871582
1119.4232177734375,0.13861267268657684,0.2341221421957016,-0.26085948944091797,-2.2807810306549072,11.226805686950684,0.1938842535018921,-0.1939476579427719,85.48689270019531,85.54037475585938,2.161944627761841,26.197437286376953,26.197437286376953,13.544476509094238,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.357469379901886,-0.9690353870391846,37.34407424926758
1119.4417724609375,0.13763929903507233,0.21499115228652954,-0.2583669126033783,-2.2167022228240967,11.54443645477295,0.14473138749599457,-0.2016233652830124,85.4764175415039,85.52989959716797,2.1622910499572754,26.217334747314453,26.217334747314453,13.552801132202148,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.35543087124824524,-0.9660199284553528,37.340389251708984
1119.4566650390625,0.137939915060997,0.19691312313079834,-0.2553194463253021,-2.252298593521118,12.814111709594727,0.16036266088485718,-0.21151471138000488,85.46270751953125,85.51618194580078,2.1614391803741455,26.237218856811523,26.237218856811523,13.56365966796875,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.35276320576667786,-0.9624829292297363,37.33563232421875
1119.4713134765625,0.13933321833610535,0.18906810879707336,-0.25270968675613403,-2.2673611640930176,13.588404655456543,0.17058894038200378,-0.21931347250938416,85.45170593261719,85.50517272949219,2.159985303878784,26.25212287902832,26.25212287902832,13.57233715057373,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.35060736536979675,-0.9597992300987244,37.331825256347656
1119.4898681640625,0.14119011163711548,0.18917882442474365,-0.2500331401824951,-2.317379951477051,14.536405563354492,0.17089056968688965,-0.2268638163805008,85.4408950805664,85.49435424804688,2.1580684185028076,26.271982192993164,26.271982192993164,13.580840110778809,0.06519589573144913,-0.06519589573144913,1.366081714630127,2.2941184043884277,-0.3484630584716797,-0.9572107195854187,37.3281364440918
1119.5047607421875,0.13657702505588531,0.05215925723314285,-0.24510106444358826,-2.2633934020996094,8.747635841369629,0.29529523849487305,-0.2362571656703949,85.42721557617188,85.48065948486328,2.1530094146728516,26.291824340820312,26.291824340820312,13.591562271118164,0.06519589573144913,-0.06519589573144913,1.3930505514144897,2.2941184043884277,-0.3457780182361603,-0.955625057220459,37.32353210449219
1119.5191650390625,0.13559281826019287,-0.04655669629573822,-0.24084536731243134,-2.1154699325561523,8.923364639282227,0.24305640161037445,-0.24365663528442383,85.41624450683594,85.46968841552734,2.1472954750061035,26.30669593811035,26.30669593811035,13.600133895874023,0.06519589573144913,-0.06519589573144913,1.4063152074813843,2.2941184043884277,-0.34367164969444275,-0.9559484720230103,37.31991958618164
1119.5377197265625,0.13313491642475128,-0.19591504335403442,-0.23716643452644348,-2.0408527851104736,5.933095932006836,0.22989225387573242,-0.25069761276245117,85.40564727783203,85.45909118652344,2.1398372650146484,26.326513290405273,26.326513290405273,13.608399391174316,0.06519589573144913,-0.06519589573144913,1.432397723197937,2.2941184043884277,-0.34166431427001953,-0.9581379890441895,37.316497802734375
1119.5528564453125,0.12346817553043365,-0.6739264130592346,-0.22852987051010132,-2.0438084602355957,-2.545754909515381,0.5290346145629883,-0.2596023678779602,85.39202117919922,85.44544982910156,2.1229329109191895,26.341365814208984,26.341365814208984,13.619009971618652,0.06519589573144913,-0.06519589573144913,1.5069403648376465,2.2941184043884277,-0.3391709327697754,-0.9680103659629822,37.31222915649414
1119.5687255859375,0.11960774660110474,-0.9518685340881348,-0.2214466631412506,-1.8584198951721191,0.7230175137519836,0.365764856338501,-0.26673227548599243,85.38091278076172,85.43433380126953,2.105844497680664,26.35620880126953,26.35620880126953,13.627650260925293,0.06519589573144913,-0.06519589573144913,1.5420300960540771,2.2941184043884277,-0.3372712731361389,-0.981028139591217,37.308902740478516
1119.5855712890625,0.12430572509765625,-1.1470454931259155,-0.2171090990304947,-1.8740993738174438,8.377063751220703,0.17449788749217987,-0.27408742904663086,85.36927032470703,85.42268371582031,2.0861306190490723,26.37598991394043,26.37598991394043,13.636706352233887,0.06519589573144913,-0.06519589573144913,1.5645740032196045,2.2941184043884277,-0.3352569043636322,-0.9983648061752319,37.3055305480957
