Time_sec,Q_deg,Qdot_deg_per_sec,Vertical_speed_SI,Altitude_MSL_SI,Height_AGL_SI,alpha_deg,IAS0_knots,IAS1_knots,TAS_SI,Left_aileron_deg,Right_aileron_deg,Elevator_deg,Rudder_deg,Roll_deg,Pitch_deg,Yaw_deg
783.9786987304688,0.09758570790290833,65.45431518554688,0.14326147735118866
783.9953002929688,0.022866152226924896,18.143705368041992,0.14325308799743652,121.41224670410156,121.574951171875,1.7463809251785278,27.446666717529297,27.446666717529297,14.21134090423584,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3676095008850098,2.3242971897125244,336.28033447265625
784.0180053710938,0.02024722658097744,4.584911346435547,0.14324532449245453,121.41461181640625,121.57728576660156,1.7463642358779907,27.446666717529297,27.446666717529297,14.211344718933105,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3693630695343018,2.324226140975952,336.2990417480469
784.0326538085938,0.061150241643190384,40.765560150146484,0.1432352215051651,121.41785430908203,121.58049011230469,1.7464218139648438,27.446666717529297,27.446666717529297,14.211356163024902,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3727613687515259,2.324042797088623,336.3245849609375
784.0499877929688,0.0491151437163353,31.852920532226562,0.1432284712791443,121.4199447631836,121.58256530761719,1.7465070486068726,27.446666717529297,27.446666717529297,14.2113618850708,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.375426173210144,2.3241817951202393,336.3373718261719
784.0641479492188,0.09815798699855804,69.03324890136719,0.14322052896022797,121.42242431640625,121.58500671386719,1.7467879056930542,27.446666717529297,27.446666717529297,14.211368560791016,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3783589601516724,2.3243319988250732,336.3499755859375
784.0834350585938,0.03258008137345314,24.588701248168945,0.14321394264698029,121.42444610595703,121.58699798583984,1.7465767860412598,27.446666717529297,27.446666717529297,14.211370468139648,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3802756071090698,2.3244147300720215,336.3608703613281
784.1027221679688,0.014306888915598392,7.945631980895996,0.14320550858974457,121.42720031738281,121.5897216796875,1.746392011642456,27.446666717529297,27.446666717529297,14.211374282836914,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3823922872543335,2.324281930923462,336.3799743652344
784.1249389648438,0.11050022393465042,68.81392669677734,0.14319753646850586,121.4299545288086,121.59244537353516,1.746744155883789,27.446666717529297,27.446666717529297,14.211380004882812,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.384744644165039,2.3241846561431885,336.402587890625
784.1449584960938,0.011075187474489212,13.255295753479004,0.1431882530450821,121.4331283569336,121.59557342529297,1.7460954189300537,27.446666717529297,27.446666717529297,14.211387634277344,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3886271715164185,2.3238637447357178,336.42462158203125
784.1683959960938,0.014904310926795006,17.575300216674805,0.1431797444820404,121.43598175048828,121.59839630126953,1.7459754943847656,27.446666717529297,27.446666717529297,14.211397171020508,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3921935558319092,2.323733329772949,336.4393310546875
784.1849975585938,0.002607345813885331,2.5954437255859375,0.14316920936107635,121.4393310546875,121.60169219970703,1.7457911968231201,27.446666717529297,27.446666717529297,14.211402893066406,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3953043222427368,2.3235490322113037,336.4574279785156
784.2030639648438,0.016886064782738686,5.284382343292236,0.1431615948677063,121.44169616699219,121.60403442382812,1.7457228899002075,27.446666717529297,27.446666717529297,14.211404800415039,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.397072196006775,2.323306083679199,336.4743957519531
784.2216186523438,0.10587885230779648,67.9026870727539,0.1431531310081482,121.44427490234375,121.60658264160156,1.7461744546890259,27.446666717529297,27.446666717529297,14.211410522460938,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.3992363214492798,2.3232486248016357,336.4959411621094
784.2389526367188,0.02947515994310379,16.377716064453125,0.143143892288208,121.4469223022461,121.60919952392578,1.745976448059082,27.446666717529297,27.446666717529297,14.211419105529785,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.4023504257202148,2.323225736618042,336.5155944824219
784.2616577148438,0.02824641950428486,14.905954360961914,0.14313504099845886,121.44939422607422,121.61163330078125,1.7460899353027344,27.446666717529297,27.446666717529297,14.21142864227295,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.405534267425537,2.3233237266540527,336.5296325683594
784.2780151367188,0.039188869297504425,27.809341430664062,0.14312322437763214,121.45263671875,121.61483764648438,1.746124505996704,27.446666717529297,27.446666717529297,14.211438179016113,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.4089787006378174,2.3233180046081543,336.5464172363281
784.2948608398438,0.020203398540616035,3.4249303340911865,0.14311444759368896,121.45497131347656,121.61714172363281,1.7461388111114502,27.446666717529297,27.446666717529297,14.21143913269043,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.4108054637908936,2.3233587741851807,336.5616149902344
784.3117065429688,0.1020258218050003,70.29776763916016,0.14310571551322937,121.45736694335938,121.6195068359375,1.746496319770813,27.446666717529297,27.446666717529297,14.211442947387695,0.06519589573144913,-0.06519589573144913,1.8001055717468262,2.2941184043884277,1.4126511812210083,2.323309898376465,336.58074951171875
